variable,label,n,threshold,pos_rate,tp_rate,fp_rate,harm,net_benefit
none,Treat None,750,0.91,0.14,0,0,0,0
none,Treat None,750,0.92,0.14,0,0,0,0
none,Treat None,750,0.93,0.14,0,0,0,0
none,Treat None,750,0.9400000000000001,0.14,0,0,0,0
none,Treat None,750,0.9500000000000001,0.14,0,0,0,0
none,Treat None,750,0.96,0.14,0,0,0,0
none,Treat None,750,0.97,0.14,0,0,0,0
none,Treat None,750,0.98,0.14,0,0,0,0
none,Treat None,750,0.99,0.14,0,0,0,0
famhistory,Family History,750,0,0.14,0.032,0.12133333333333335,0,0.032
famhistory,Family History,750,0.01,0.14,0.032,0.12133333333333335,0,0.030774410774410774
famhistory,Family History,750,0.02,0.14,0.032,0.12133333333333335,0,0.029523809523809525
famhistory,Family History,750,0.03,0.14,0.032,0.12133333333333335,0,0.02824742268041237
famhistory,Family History,750,0.04,0.14,0.032,0.12133333333333335,0,0.026944444444444444
famhistory,Family History,750,0.05,0.14,0.032,0.12133333333333335,0,0.025614035087719297
famhistory,Family History,750,0.06,0.14,0.032,0.12133333333333335,0,0.02425531914893617
famhistory,Family History,750,0.07,0.14,0.032,0.12133333333333335,0,0.0228673835125448
famhistory,Family History,750,0.08,0.14,0.032,0.12133333333333335,0,0.02144927536231884
famhistory,Family History,750,0.09,0.14,0.032,0.12133333333333335,0,0.02
famhistory,Family History,750,0.1,0.14,0.032,0.12133333333333335,0,0.018518518518518517
famhistory,Family History,750,0.11,0.14,0.032,0.12133333333333335,0,0.01700374531835206
famhistory,Family History,750,0.12,0.14,0.032,0.12133333333333335,0,0.015454545454545453
famhistory,Family History,750,0.13,0.14,0.032,0.12133333333333335,0,0.01386973180076628
famhistory,Family History,750,0.14,0.14,0.032,0.12133333333333335,0,0.012248062015503873
famhistory,Family History,750,0.15,0.14,0.032,0.12133333333333335,0,0.010588235294117645
famhistory,Family History,750,0.16,0.14,0.032,0.12133333333333335,0,0.008888888888888884
famhistory,Family History,750,0.17,0.14,0.032,0.12133333333333335,0,0.007148594377510035
famhistory,Family History,750,0.18,0.14,0.032,0.12133333333333335,0,0.005365853658536587
famhistory,Family History,750,0.19,0.14,0.032,0.12133333333333335,0,0.0035390946502057603
famhistory,Family History,750,0.2,0.14,0.032,0.12133333333333335,0,0.0016666666666666635
famhistory,Family History,750,0.21,0.14,0.032,0.12133333333333335,0,-2.531645569620253e-4
famhistory,Family History,750,0.22,0.14,0.032,0.12133333333333335,0,-0.0022222222222222227
famhistory,Family History,750,0.23,0.14,0.032,0.12133333333333335,0,-0.004242424242424242
famhistory,Family History,750,0.24,0.14,0.032,0.12133333333333335,0,-0.006315789473684212
famhistory,Family History,750,0.25,0.14,0.032,0.12133333333333335,0,-0.008444444444444449
