variable,label,harm,threshold,prevalence,n,test_pos_rate,tp_rate,fp_rate,net_benefit
marker,Biomarker,0,0.23,0.14,750,0.13466666666666666,0.04533333333333334,0.08933333333333333,0.018649350649350655
marker,Biomarker,0,0.24,0.14,750,0.11733333333333333,0.04266666666666667,0.07466666666666666,0.019087719298245622
marker,Biomarker,0,0.25,0.14,750,0.10666666666666667,0.038666666666666676,0.068,0.016000000000000007
marker,Biomarker,0,0.26,0.14,750,0.096,0.03466666666666667,0.06133333333333333,0.013117117117117123
marker,Biomarker,0,0.27,0.14,750,0.088,0.03333333333333333,0.05466666666666666,0.013114155251141551
marker,Biomarker,0,0.28,0.14,750,0.084,0.03333333333333333,0.050666666666666665,0.013629629629629627
marker,Biomarker,0,0.29,0.14,750,0.08,0.03066666666666667,0.04933333333333333,0.010516431924882632
marker,Biomarker,0,0.3,0.14,750,0.072,0.03066666666666667,0.04133333333333333,0.012952380952380951
marker,Biomarker,0,0.31,0.14,750,0.07066666666666667,0.03066666666666667,0.04,0.012695652173913042
marker,Biomarker,0,0.32,0.14,750,0.06933333333333333,0.03066666666666667,0.03866666666666667,0.012470588235294115
marker,Biomarker,0,0.33,0.14,750,0.064,0.028000000000000004,0.036,0.010268656716417912
marker,Biomarker,0,0.34,0.14,750,0.06133333333333333,0.02666666666666667,0.034666666666666665,0.008808080808080807
marker,Biomarker,0,0.35000000000000003,0.14,750,0.056,0.024000000000000004,0.032,0.0067692307692307704
marker,Biomarker,0,0.36,0.14,750,0.050666666666666665,0.024000000000000004,0.026666666666666665,0.009000000000000005
marker,Biomarker,0,0.37,0.14,750,0.04666666666666667,0.021333333333333336,0.025333333333333333,0.006455026455026458
marker,Biomarker,0,0.38,0.14,750,0.04133333333333333,0.02,0.021333333333333333,0.0069247311827957
marker,Biomarker,0,0.39,0.14,750,0.03866666666666667,0.018666666666666668,0.02,0.005879781420765028
marker,Biomarker,0,0.4,0.14,750,0.03333333333333333,0.017333333333333336,0.016,0.006666666666666668
marker,Biomarker,0,0.41000000000000003,0.14,750,0.03333333333333333,0.017333333333333336,0.016,0.006214689265536725
marker,Biomarker,0,0.42,0.14,750,0.03333333333333333,0.017333333333333336,0.016,0.005747126436781613
marker,Biomarker,0,0.43,0.14,750,0.03333333333333333,0.017333333333333336,0.016,0.005263157894736846
marker,Biomarker,0,0.44,0.14,750,0.030666666666666665,0.017333333333333336,0.013333333333333332,0.00685714285714286
marker,Biomarker,0,0.45,0.14,750,0.029333333333333333,0.017333333333333336,0.012,0.007515151515151518
marker,Biomarker,0,0.46,0.14,750,0.028,0.016,0.012,0.0057777777777777775
marker,Biomarker,0,0.47000000000000003,0.14,750,0.02666666666666667,0.016,0.010666666666666666,0.006540880503144655
marker,Biomarker,0,0.48,0.14,750,0.02666666666666667,0.016,0.010666666666666666,0.006153846153846156
marker,Biomarker,0,0.49,0.14,750,0.025333333333333333,0.016,0.009333333333333332,0.0070326797385620934
marker,Biomarker,0,0.5,0.14,750,0.024,0.014666666666666668,0.009333333333333332,0.005333333333333336
marker,Biomarker,0,0.51,0.14,750,0.021333333333333333,0.012000000000000002,0.009333333333333332,0.0022857142857142885
marker,Biomarker,0,0.52,0.14,750,0.021333333333333333,0.012000000000000002,0.009333333333333332,0.0018888888888888913
marker,Biomarker,0,0.53,0.14,750,0.021333333333333333,0.012000000000000002,0.009333333333333332,0.0014751773049645409
marker,Biomarker,0,0.54,0.14,750,0.018666666666666668,0.010666666666666668,0.008,0.0012753623188405793
marker,Biomarker,0,0.55,0.14,750,0.017333333333333333,0.009333333333333334,0.008,-4.4444444444444696e-4
marker,Biomarker,0,0.56,0.14,750,0.017333333333333333,0.009333333333333334,0.008,-8.484848484848501e-4
marker,Biomarker,0,0.5700000000000001,0.14,750,0.017333333333333333,0.009333333333333334,0.008,-0.0012713178294573666
marker,Biomarker,0,0.58,0.14,750,0.017333333333333333,0.009333333333333334,0.008,-0.0017142857142857116
marker,Biomarker,0,0.59,0.14,750,0.017333333333333333,0.009333333333333334,0.008,-0.0021788617886178835
marker,Biomarker,0,0.6,0.14,750,0.017333333333333333,0.009333333333333334,0.008,-0.0026666666666666644
marker,Biomarker,0,0.61,0.14,750,0.017333333333333333,0.009333333333333334,0.008,-0.0031794871794871785
marker,Biomarker,0,0.62,0.14,750,0.014666666666666666,0.008,0.006666666666666666,-0.0028771929824561396
marker,Biomarker,0,0.63,0.14,750,0.014666666666666666,0.008,0.006666666666666666,-0.0033513513513513497
marker,Biomarker,0,0.64,0.14,750,0.012,0.005333333333333334,0.006666666666666666,-0.006518518518518517
marker,Biomarker,0,0.65,0.14,750,0.012,0.005333333333333334,0.006666666666666666,-0.007047619047619047
marker,Biomarker,0,0.66,0.14,750,0.010666666666666666,0.005333333333333334,0.005333333333333333,-0.005019607843137255
marker,Biomarker,0,0.67,0.14,750,0.008,0.005333333333333334,0.0026666666666666666,-8.080808080808063e-5
marker,Biomarker,0,0.68,0.14,750,0.008,0.005333333333333334,0.0026666666666666666,-3.333333333333339e-4
marker,Biomarker,0,0.6900000000000001,0.14,750,0.006666666666666667,0.005333333333333334,0.0013333333333333333,0.0023655913978494624
marker,Biomarker,0,0.7000000000000001,0.14,750,0.006666666666666667,0.005333333333333334,0.0013333333333333333,0.0022222222222222222
marker,Biomarker,0,0.71,0.14,750,0.005333333333333333,0.005333333333333334,0,0.005333333333333334
marker,Biomarker,0,0.72,0.14,750,0.005333333333333333,0.005333333333333334,0,0.005333333333333334
marker,Biomarker,0,0.73,0.14,750,0.005333333333333333,0.005333333333333334,0,0.005333333333333334
marker,Biomarker,0,0.74,0.14,750,0.005333333333333333,0.005333333333333334,0,0.005333333333333334
marker,Biomarker,0,0.75,0.14,750,0.005333333333333333,0.005333333333333334,0,0.005333333333333334
marker,Biomarker,0,0.76,0.14,750,0.005333333333333333,0.005333333333333334,0,0.005333333333333334
marker,Biomarker,0,0.77,0.14,750,0.005333333333333333,0.005333333333333334,0,0.005333333333333334
marker,Biomarker,0,0.78,0.14,750,0.0026666666666666666,0.002666666666666667,0,0.002666666666666667
marker,Biomarker,0,0.79,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,0.8,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,0.81,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,0.8200000000000001,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,0.8300000000000001,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,0.84,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,0.85,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,0.86,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,0.87,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,0.88,0.14,750,0,0,0,0
marker,Biomarker,0,0.89,0.14,750,0,0,0,0
marker,Biomarker,0,0.9,0.14,750,0,0,0,0
marker,Biomarker,0,0.91,0.14,750,0,0,0,0
marker,Biomarker,0,0.92,0.14,750,0,0,0,0
marker,Biomarker,0,0.93,0.14,750,0,0,0,0
marker,Biomarker,0,0.9400000000000001,0.14,750,0,0,0,0
marker,Biomarker,0,0.9500000000000001,0.14,750,0,0,0,0
marker,Biomarker,0,0.96,0.14,750,0,0,0,0
marker,Biomarker,0,0.97,0.14,750,0,0,0,0
marker,Biomarker,0,0.98,0.14,750,0,0,0,0
marker,Biomarker,0,0.99,0.14,750,0,0,0,0
