variable,label,n,threshold,pos_rate,test_pos_rate,tp_rate,fp_rate,harm,net_benefit,net_intervention_avoided
all,Treat All,750,0.25,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.1369505763427628,0
all,Treat All,750,0.26,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.15231477332036775,0
all,Treat All,750,0.27,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.16809990720146867,0
all,Treat All,750,0.28,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.18432351702371136,0
all,Treat All,750,0.29,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.2010041299395382,0
all,Treat All,750,0.3,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.21816133179581731,0
all,Treat All,750,0.31,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.2358158438508292,0
all,Treat All,750,0.32,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.25398960626040024,0
all,Treat All,750,0.33,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.2727058690404062,0
all,Treat All,750,0.34,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.2919892912985942,0
all,Treat All,750,0.35000000000000003,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.31186604962626485,0
all,Treat All,750,0.36,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.3323639566516752,0
all,Treat All,750,0.37,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.3535125908842415,0
all,Treat All,750,0.38,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.3753434391243099,0
all,Treat All,750,0.39,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.3978900528804461,0
all,Treat All,750,0.4,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.4211882204284536,0
all,Treat All,750,0.41000000000000003,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.44527615636791884,0
all,Treat All,750,0.42,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.4701947107880553,0
all,Treat All,750,0.43,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.49598760045100365,0
all,Treat All,750,0.44,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.5227016647447716,0
all,Treat All,750,0.45,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.5503871495583129,0
all,Treat All,750,0.46,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.5790980226982817,0
all,Treat All,750,0.47000000000000003,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.6088923250133437,0
all,Treat All,750,0.48,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.6398325620328309,0
all,Treat All,750,0.49,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.6719861416805335,0
all,Treat All,750,0.5,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.7054258645141442,0
all,Treat All,750,0.51,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.7402304739940248,0
all,Treat All,750,0.52,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.776485275535567,0
all,Treat All,750,0.53,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.8142828345895153,0
all,Treat All,750,0.54,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.8537237657762438,0
all,Treat All,750,0.55,0.14728706774292788,1,0.14728706774292788,0.8527129322570721,0,-0.8949176272379382,0
